序号,币种,最新价格,24h涨幅,流通量,开盘价,风险性,合约,所属链,推特,电报,其它链接,更新时间
1,BBC,433.485,+87.29%,"10,000",13.808,40,0x767b04d1f1dde2a056cec1ab3bd51d1c286366db,bsc,,,,2022-09-01 11
2,SHJ,145.81,+49.39%,"47,629.51",44.28,55,0x829e7183f68ac30526d27bb70ec8de51dccd6161,bsc,,,,2022-09-01 11
3,ZT,6.252,+48.23%,"533,200",2.49,40,0x526fcd7a4cc150a6feaf24f8469d531be881f80f,bsc,,,,2022-09-01 11
4,O5O,1.032,+43.33%,"611,040",1.653,20,0xd79ac202089bd317c8b8aa3621caf5c1cf6c6ba6,bsc,,,,2022-09-01 11
5,ECB,0.0546,+40.37%,"99,750,223.675",0.0{5}298,40,0x7b2fdd8a40a9b8ea92b63673f6863128951f1026,bsc,,,,2022-09-01 11
6,WOM,1.127,+25.99%,1B,1.163,55,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,bsc,https://twitter.com/WombatExchange,https://t.me/WombatExchange,https://discord.com/invite/Wombat,2022-09-01 11
7,KING,204.657,+14.59%,"8,000",51.618,55,0xe9bfae2eb2c81caefdaf372cb5e4f9398d7e05ab,bsc,https://twitter.com/ATM_Official1,https://t.me/ATM_Official1,,2022-09-01 11
8,BTU,0.125,+14.38%,"209,958,245.061",0.0{6}592,55,0xf5e88c44093252db8c8250df3cd51c8fd96cd6c9,bsc,,,,2022-09-01 11
9,QJ,130.236,+9.44%,"8,631.48",123.461,55,0x6743665257c429605aa344ed04dff7a183a50296,bsc,,,,2022-09-01 11
10,LB,0.0{8}821,+7.64%,1P,0.0{22}524,55,0x3ff3e9a36d49fb2bdbaa767b502e47d6efd12f82,bsc,,https://t.me/LuckBallClub,,2022-09-01 11
