序号,币种,最新价格,24h涨幅,流通量,开盘价,风险性,合约,所属链,推特,电报,其它链接,更新时间
1,O5O,0.962,+33.71%,"611,040",1.653,20,0xd79ac202089bd317c8b8aa3621caf5c1cf6c6ba6,bsc,,,,2022-09-01 10
2,WOM,1.193,+33.41%,1B,1.163,55,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,bsc,https://twitter.com/WombatExchange,https://t.me/WombatExchange,https://discord.com/invite/Wombat,2022-09-01 10
3,ZT,5.592,+32.58%,"533,200",2.49,40,0x526fcd7a4cc150a6feaf24f8469d531be881f80f,bsc,,,,2022-09-01 10
4,BBC,295.523,+27.68%,"10,000",13.808,40,0x767b04d1f1dde2a056cec1ab3bd51d1c286366db,bsc,,,,2022-09-01 10
5,ECB,0.0456,+17.12%,"99,752,586.575",0.0{5}298,40,0x7b2fdd8a40a9b8ea92b63673f6863128951f1026,bsc,,,,2022-09-01 10
6,SHJ,111.586,+14.33%,"47,665.614",44.28,55,0x829e7183f68ac30526d27bb70ec8de51dccd6161,bsc,,,,2022-09-01 10
7,TST,0.00532,+13.99%,"44,500,000",0.014,55,0x12aa33065edf46d41e42945046aae8a6f5c1622f,bsc,,,,2022-09-01 10
8,BTU,0.119,+8.92%,"209,958,429.321",0.0{6}592,55,0xf5e88c44093252db8c8250df3cd51c8fd96cd6c9,bsc,,,,2022-09-01 10
9,KING,192.517,+7.79%,"8,000",51.618,55,0xe9bfae2eb2c81caefdaf372cb5e4f9398d7e05ab,bsc,https://twitter.com/ATM_Official1,https://t.me/ATM_Official1,,2022-09-01 10
10,TSL,38.925,+5.55%,"30,000",1.517,20,0x4312b727eb4c7206f8c11739a2780cb212c61b05,bsc,,,,2022-09-01 10
